Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
WATERFRONT KEY,"1,205.57",Sep-21,BEDOK RESERVOIR ROAD,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,06 to 10,1350000
BLOSSOMS BY THE PARK,678.13,Apr-23,SLIM BARRACKS RISE,New Sale,Strata,63,Apartment,1,99 yrs lease commencing from 2022,5,Rest of Central Region,11 to 15,1589000
NORMANTON PARK,936.47,Jan-22,NORMANTON PARK,New Sale,Strata,87,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,1661000
CLAVON,"1,582.31",Oct-24,CLEMENTI AVENUE 1,Sub Sale,Strata,147.0,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,01 to 05,2938000
SYMPHONY SUITES,"1,022.58",Jan-22,YISHUN CLOSE,Resale,Strata,95,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15,1270000
76 SHENTON,592.02,Oct-23,SHENTON WAY,Resale,Strata,55.0,Apartment,1,99 yrs lease commencing from 2007,2,Core Central Region,36 to 40,1238000
VIEW AT KISMIS,699.66,Mar-21,LORONG KISMIS,New Sale,Strata,65,Apartment,1,99 yrs lease commencing from 2019,21,Rest of Central Region,01 to 05,1255000
AMARYLLIS VILLE,"1,259.39",Nov-20,NEWTON ROAD,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 1997,11,Core Central Region,26 to 30,2038000
KASSIA,753.48,Jul-24,FLORA DRIVE,New Sale,Strata,70,Condominium,1,Freehold,17,Outside Central Region,06 to 10,1559000
THE COURTYARD,"1,334.74",Sep-24,LIM AH PIN ROAD,Resale,Strata,124.0,Apartment,1,Freehold,19,Outside Central Region,01 to 05,1860000
JOOL SUITES,613.55,Nov-20,SING JOO WALK,Resale,Strata,57,Apartment,1,Freehold,8,Rest of Central Region,01 to 05,707000
EDELWEISS PARK CONDOMINIUM,"1,280.92",May-23,FLORA ROAD,Resale,Strata,119,Condominium,1,Freehold,17,Outside Central Region,01 to 05,1360000
PENROSE,645.84,Sep-24,SIMS DRIVE,Sub Sale,Strata,60.0,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,16 to 20,1320000
# 1 SUITES,559.73,Aug-24,LORONG 20 GEYLANG,Resale,Strata,52.0,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,713000
JANSEN HOUSE,"1,334.74",May-24,JANSEN ROAD,New Sale,Strata,124,Apartment,1,999 yrs lease commencing from 1876,19,Outside Central Region,01 to 05,2800000
D'GROVE VILLAS,"2,701.76",Apr-21,ORANGE GROVE ROAD,Resale,Strata,251,Condominium,1,Freehold,10,Core Central Region,11 to 15,5780000
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,"1,259.39",Jul-24,OCEAN WAY,Resale,Strata,117,Condominium,1,99 yrs lease commencing from 2006,4,Core Central Region,01 to 05,2343600
SHELFORD REGENCY,"1,097.93",May-22,SHELFORD ROAD,Resale,Strata,102,Condominium,1,Freehold,11,Core Central Region,01 to 05,2150000
BOTANIQUE AT BARTLEY,495.14,Nov-20,UPPER PAYA LEBAR ROAD,Sub Sale,Strata,46,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15,765000
KINGSFORD WATERBAY,850.36,Feb-23,UPPER SERANGOON VIEW,Resale,Strata,79,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05,1100000
DORSETT RESIDENCES,839.59,Dec-21,NEW BRIDGE ROAD,Resale,Strata,78,Apartment,1,99 yrs lease commencing from 2009,2,Rest of Central Region,01 to 05,1680000
THE GARDENS AT BISHAN,"1,205.57",Jan-24,SIN MING WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10,1800000
ONE PEARL BANK,"1,184.04",Apr-23,PEARL BANK,New Sale,Strata,110,Apartment,1,99 yrs lease commencing from 2019,3,Rest of Central Region,16 to 20,2980000
MEYER MANSION,"1,765.3",Apr-22,MEYER ROAD,New Sale,Strata,164,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,4470000
NORMANTON PARK,731.95,Jan-21,NORMANTON PARK,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,1309497
SUNGLADE,"1,151.75",Feb-21,SERANGOON AVENUE 2,Resale,Strata,107,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,06 to 10,1375000
PARC CLEMATIS,"1,291.68",Jul-21,JALAN LEMPENG,New Sale,Strata,120,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,11 to 15,2220000
ARTRA,"1,227.1",May-23,ALEXANDRA VIEW,Sub Sale,Strata,114,Apartment,1,99 yrs lease commencing from 2016,3,Rest of Central Region,06 to 10,2380000
KOVAN MELODY,"1,517.72",May-23,KOVAN ROAD,Resale,Strata,141,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,01 to 05,2278000
BAYSHORE PARK,936.47,Feb-21,BAYSHORE ROAD,Resale,Strata,87,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,11 to 15,1030000
TREASURE AT TAMPINES,"1,237.86",Dec-24,TAMPINES LANE,Resale,Strata,115.0,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,2085000
THE GARDENS AT BISHAN,"1,840.64",Nov-20,SIN MING WALK,Resale,Strata,171,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,16 to 20,2050000
AURA 83,635.08,Apr-23,DUKU ROAD,Resale,Strata,59,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,990000
LE CRESCENDO,947.23,Oct-24,PAYA LEBAR ROAD,Resale,Strata,88.0,Condominium,1,Freehold,14,Rest of Central Region,01 to 05,1465000
RIVERGATE,"1,550.02",Nov-22,ROBERTSON QUAY,Resale,Strata,144,Apartment,1,Freehold,9,Core Central Region,36 to 40,4800000
GLENTREES,"3,132.32",Nov-24,MOUNT SINAI LANE,Resale,Strata,291.0,Condominium,1,999 yrs lease commencing from 1885,10,Core Central Region,01 to 05,4280000
AVENUE SOUTH RESIDENCE,"1,496.2",Dec-20,SILAT AVENUE,New Sale,Strata,139,Apartment,1,99 yrs lease commencing from 2018,3,Rest of Central Region,31 to 35,2998000
THE CLEARWATER,"1,227.1",Mar-23,BEDOK RESERVOIR VIEW,Resale,Strata,114,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05,1450000
MANDARIN GARDENS,"1,528.49",Sep-23,SIGLAP ROAD,Resale,Strata,142.0,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,16 to 20,2050000
TREASURE AT TAMPINES,656.6,Jun-21,TAMPINES LANE,New Sale,Strata,61,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1001000
ASPEN HEIGHTS,"1,323.97",Sep-24,RIVER VALLEY ROAD,Resale,Strata,123.0,Condominium,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,2940000
JUNIPER HILL,721.19,Oct-22,EWE BOON ROAD,Resale,Strata,67,Apartment,1,Freehold,10,Core Central Region,11 to 15,2214800
PARC ESTA,839.59,Feb-24,SIMS AVENUE,Resale,Strata,78,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15,1900000
ORCHARD SCOTTS,"1,625.36",Nov-20,ANTHONY ROAD,Resale,Strata,151,Condominium,1,99 yrs lease commencing from 2001,9,Core Central Region,06 to 10,2300000
LIV @ MB,495.14,May-22,ARTHUR ROAD,New Sale,Strata,46,Condominium,1,99 yrs lease commencing from 2021,15,Rest of Central Region,11 to 15,1283000
MEYERHOUSE,"3,239.96",Nov-22,MEYER ROAD,Resale,Strata,301,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,8355000
WEST BAY CONDOMINIUM,893.41,Aug-20,WEST COAST CRESCENT,Resale,Strata,83,Condominium,1,99 yrs lease commencing from 1991,5,Outside Central Region,01 to 05,775000
THE BLOSSOMVALE,904.18,Dec-21,DUNEARN ROAD,Resale,Strata,84,Condominium,1,999 yrs lease commencing from 1884,21,Rest of Central Region,06 to 10,1660000
PARC VISTA,"1,054.87",Nov-24,CORPORATION ROAD,Resale,Strata,98.0,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,06 to 10,1240000
KI RESIDENCES AT BROOKVALE,936.47,Feb-21,BROOKVALE DRIVE,New Sale,Strata,87,Condominium,1,999 yrs lease commencing from 1885,21,Outside Central Region,01 to 05,1611000
MI CASA,990.29,Sep-21,CHOA CHU KANG AVENUE 3,Resale,Strata,92,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,01 to 05,980000
COCO PALMS,"1,743.77",Jan-24,PASIR RIS GROVE,Resale,Strata,162,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15,2580000
COSTA RHU,"1,399.32",May-21,RHU CROSS,Resale,Strata,130,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05,1620000
PARC EMILY,559.73,Jun-23,MOUNT EMILY ROAD,Resale,Strata,52.0,Condominium,1,Freehold,9,Core Central Region,06 to 10,1050000
PRINCIPAL GARDEN,505.91,May-23,PRINCE CHARLES CRESCENT,Resale,Strata,47.0,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,06 to 10,970000
THE STELLAR,"1,313.21",Sep-21,WEST COAST ROAD,Resale,Strata,122,Condominium,1,Freehold,5,Outside Central Region,01 to 05,1800000
LENTOR MODERN,"1,528.49",Sep-22,LENTOR CENTRAL,New Sale,Strata,142,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,11 to 15,3050000
THE PANORAMA,430.56,Apr-21,ANG MO KIO AVENUE 2,Resale,Strata,40,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,01 to 05,680000
THE RESERVE RESIDENCES,"1,474.67",Jun-23,JALAN ANAK BUKIT,New Sale,Strata,137.0,Apartment,1,99 yrs lease commencing from 2021,21,Rest of Central Region,26 to 30,3510643
ALTEZ,990.29,Aug-24,ENGGOR STREET,Resale,Strata,92.0,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,21 to 25,2050000
8@WOODLEIGH,"1,302.44",Apr-21,WOODLEIGH CLOSE,Resale,Strata,121,Condominium,1,99 yrs lease commencing from 2008,13,Rest of Central Region,11 to 15,1800000
MEYERHOUSE,"2,820.17",Nov-22,MEYER ROAD,Resale,Strata,262,Condominium,1,Freehold,15,Rest of Central Region,01 to 05,7154000
CONCOURSE SKYLINE,818.06,Mar-23,BEACH ROAD,Resale,Strata,76,Apartment,1,99 yrs lease commencing from 2008,7,Core Central Region,11 to 15,1400000
ONE BERNAM,452.09,May-21,BERNAM STREET,New Sale,Strata,42,Apartment,1,99 yrs lease commencing from 2019,2,Core Central Region,16 to 20,1219000
LAVENDER RESIDENCE,"1,550.02",Jun-23,LAVENDER STREET,New Sale,Strata,144.0,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,2660000
MEYER BLUE,667.37,Dec-24,MEYER ROAD,New Sale,Strata,62.0,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,2045000
AMBER PARK,"1,571.54",Mar-22,AMBER GARDENS,New Sale,Strata,146,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3833000
CAIRNHILL RESIDENCES,"1,173.28",Jan-21,CAIRNHILL CIRCLE,Resale,Strata,109,Apartment,1,Freehold,9,Core Central Region,16 to 20,2600000
NEPTUNE COURT,"1,636.13",Dec-23,MARINE VISTA,Resale,Strata,152.0,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,16 to 20,1938000
THE INTERLACE,"1,614.6",Sep-23,DEPOT ROAD,Resale,Strata,150.0,Condominium,1,99 yrs lease commencing from 2009,4,Rest of Central Region,06 to 10,2540000
TEMBUSU GRAND,742.72,Apr-23,JALAN TEMBUSU,New Sale,Strata,69,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,11 to 15,1892000
THE SHORE RESIDENCES,925.7,Dec-21,AMBER ROAD,Resale,Strata,86,Condominium,1,103 yrs lease commencing from 2009,15,Rest of Central Region,01 to 05,1670000
THE VENUE RESIDENCES,839.59,Nov-22,TAI THONG CRESCENT,Resale,Strata,78,Apartment,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15,1483000
MARTIN MODERN,871.88,Aug-22,MARTIN PLACE,Sub Sale,Strata,81,Condominium,1,99 yrs lease commencing from 2016,9,Core Central Region,16 to 20,2285000
EUHABITAT,538.2,Jun-24,JALAN EUNOS,Resale,Strata,50,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05,790000
LENTOR MODERN,990.29,Sep-22,LENTOR CENTRAL,New Sale,Strata,92,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,11 to 15,2012670
J@63,"1,044.11",Nov-21,LORONG J TELOK KURAU,New Sale,Strata,97,Apartment,1,Freehold,15,Outside Central Region,01 to 05,1700000
SENGKANG GRAND RESIDENCES,"1,011.82",Feb-21,COMPASSVALE BOW,New Sale,Strata,94,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,1722000
NORMANTON PARK,850.36,Apr-22,NORMANTON PARK,New Sale,Strata,79,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,21 to 25,1666000
MIDTOWN MODERN,635.08,Mar-21,TAN QUEE LAN STREET,New Sale,Strata,59,Apartment,1,99 yrs lease commencing from 2019,7,Core Central Region,06 to 10,1530540
THE WOODLEIGH RESIDENCES,958,Oct-20,BIDADARI PARK DRIVE,New Sale,Strata,89,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05,1796000
SKYSUITES@ANSON,398.27,Aug-23,ENGGOR STREET,Resale,Strata,37.0,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,26 to 30,950000
KINGSFORD WATERBAY,688.9,Apr-22,UPPER SERANGOON VIEW,Resale,Strata,64,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15,875000
FOURTH AVENUE RESIDENCES,505.91,Jul-22,FOURTH AVENUE,New Sale,Strata,47,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10,1300000
HILLOCK GREEN,"1,054.87",Aug-24,LENTOR CENTRAL,New Sale,Strata,98.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,2180000
EASTERN LAGOON,753.48,Aug-24,UPPER EAST COAST ROAD,Resale,Strata,70.0,Condominium,1,Freehold,15,Outside Central Region,06 to 10,1393000
CHANTILLY RISE,"1,442.38",May-22,HILLVIEW AVENUE,Resale,Strata,134,Condominium,1,Freehold,23,Outside Central Region,01 to 05,1750000
A TREASURE TROVE,"1,205.57",Dec-21,PUNGGOL WALK,Resale,Strata,112,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05,1399998
THE GARDEN RESIDENCES,"1,119.46",Aug-20,SERANGOON NORTH VIEW,New Sale,Strata,104,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10,1704300
TWIN VEW,484.38,Sep-24,WEST COAST VALE,Resale,Strata,45.0,Apartment,1,99 yrs lease commencing from 2017,5,Outside Central Region,21 to 25,895000
LAKE GRANDE,473.62,Aug-21,JURONG LAKE LINK,Resale,Strata,44,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,06 to 10,760000
HILLHAVEN,699.66,Aug-24,HILLVIEW RISE,New Sale,Strata,65.0,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,16 to 20,1600546
THE MILTONIA RESIDENCES,861.12,Jun-22,MILTONIA CLOSE,Resale,Strata,80,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,915000
EMERALD OF KATONG,904.18,Nov-24,JALAN TEMBUSU,New Sale,Strata,84.0,Condominium,1,99 yrs lease commencing from 2023,15,Rest of Central Region,11 to 15,2337000
PINETREE HILL,764.24,Sep-24,PINE GROVE,New Sale,Strata,71.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,11 to 15,1893000
VAN HOLLAND,656.6,Mar-23,HOLLAND ROAD,New Sale,Strata,61,Condominium,1,Freehold,10,Core Central Region,01 to 05,1975540
PARC VISTA,"1,054.87",Dec-20,CORPORATION ROAD,Resale,Strata,98,Condominium,1,99 yrs lease commencing from 1995,22,Outside Central Region,01 to 05,888000
THE TRILINQ,"1,054.87",Apr-21,JALAN LEMPENG,Resale,Strata,98,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,31 to 35,1650000
REGENCY SUITES,"4,413.24",Jun-21,KIM TIAN ROAD,Resale,Strata,410,Apartment,1,Freehold,3,Rest of Central Region,31 to 35,5700000
THE SPRINGBLOOM,"1,302.44",Feb-24,SERANGOON AVENUE 3,Resale,Strata,121,Condominium,1,99 yrs lease commencing from 1995,19,Outside Central Region,06 to 10,2068888
PARC ELEGANCE,398.27,Aug-23,TELOK KURAU ROAD,Resale,Strata,37.0,Apartment,1,Freehold,15,Outside Central Region,01 to 05,649000
NEWTON LODGE,"1,216.33",Sep-22,NEWTON ROAD,Resale,Strata,113,Apartment,1,Freehold,11,Core Central Region,01 to 05,2110000
ONE DUSUN RESIDENCES,667.37,Dec-23,JALAN DUSUN,Resale,Strata,62.0,Apartment,1,Freehold,12,Rest of Central Region,16 to 20,1188000
QUEENS PEAK,624.31,Jul-21,DUNDEE ROAD,Sub Sale,Strata,58,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,16 to 20,1218000
FORETT@BUKIT TIMAH,"1,582.31",Sep-21,TOH TUCK ROAD,New Sale,Strata,147,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,2913000
TREVOSE PARK,"1,679.18",Jul-21,TREVOSE CRESCENT,Resale,Strata,156,Condominium,1,Freehold,11,Core Central Region,01 to 05,3310000
VERDALE,731.95,Dec-21,DE SOUZA AVENUE,New Sale,Strata,68,Apartment,1,99 yrs lease commencing from 2018,21,Rest of Central Region,01 to 05,1359500
COASTAL BREEZE RESIDENCES,"1,840.64",Jul-22,LOYANG BESAR CLOSE,Resale,Strata,171,Condominium,1,99 yrs lease commencing from 2008,17,Outside Central Region,01 to 05,1535000
THREE THREE ROBIN,"1,948.28",Oct-23,ROBIN ROAD,Resale,Strata,181.0,Apartment,1,Freehold,10,Core Central Region,01 to 05,4350000
NORMANTON PARK,904.18,Jan-22,NORMANTON PARK,New Sale,Strata,84,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,11 to 15,1634000
RAFFLESIA CONDOMINIUM,914.94,Nov-23,BISHAN STREET 21,Resale,Strata,85.0,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,01 to 05,1238000
THE CLEMENT CANOPY,710.42,Oct-21,CLEMENTI AVENUE 1,Resale,Strata,66,Apartment,1,99 yrs lease commencing from 2016,5,Outside Central Region,36 to 40,1288000
OXFORD SUITES,893.41,Jul-22,OXFORD ROAD,Resale,Strata,83,Apartment,1,Freehold,8,Rest of Central Region,06 to 10,1380000
COMMONWEALTH TOWERS,753.48,Apr-21,COMMONWEALTH AVENUE,Resale,Strata,70,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,1418000
AQUARIUS BY THE PARK,"1,097.93",Dec-21,BEDOK RESERVOIR VIEW,Resale,Strata,102,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05,885000
LENTOR HILLS RESIDENCES,721.19,Jul-23,LENTOR HILLS ROAD,New Sale,Strata,67.0,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,1560000
ORCHARD SOPHIA,710.42,Aug-23,SOPHIA ROAD,New Sale,Strata,66.0,Apartment,1,Freehold,9,Core Central Region,01 to 05,2037000
HILLSTA,538.2,May-22,PHOENIX ROAD,Resale,Strata,50,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20,670000
STIRLING RESIDENCES,871.88,Apr-21,STIRLING ROAD,New Sale,Strata,81,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,36 to 40,1421000
RESIDENTIAL APARTMENTS,"1,517.72",Sep-21,HOLLAND HILL,Resale,Strata,141,Apartment,1,Freehold,10,Core Central Region,06 to 10,2200000
HILLTOP GROVE,"1,323.97",Nov-21,HILLVIEW AVENUE,Resale,Strata,123,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,01 to 05,1156000
PARC VERA,871.88,Sep-24,HOUGANG STREET 32,Resale,Strata,81.0,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15,1250000
KELLOCK LODGE,893.41,Apr-22,KELLOCK ROAD,Resale,Strata,83,Apartment,1,Freehold,10,Core Central Region,06 to 10,1603000
DAINTREE RESIDENCE,"1,054.87",Aug-20,TOH TUCK ROAD,New Sale,Strata,98,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05,1884470
GRANDEUR 8,"1,593.07",Mar-22,ANG MO KIO CENTRAL 3,Resale,Strata,148,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,01 to 05,1583000
THE BAYSHORE,"1,431.61",Feb-21,BAYSHORE ROAD,Resale,Strata,133,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,16 to 20,1480000
EIS RESIDENCES,419.8,Jan-22,HAIG AVENUE,Resale,Strata,39,Apartment,1,Freehold,15,Rest of Central Region,01 to 05,600000
FOURTH AVENUE RESIDENCES,"1,485.43",May-22,FOURTH AVENUE,New Sale,Strata,138,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,01 to 05,3734663
KENSINGTON SQUARE,"1,205.57",Nov-21,JALAN LOKAM,Resale,Strata,112,Apartment,1,Freehold,19,Outside Central Region,01 to 05,1500000
THOMSON V TWO,947.23,Aug-21,SIN MING ROAD,Resale,Strata,88,Apartment,1,Freehold,20,Rest of Central Region,01 to 05,1310000
PARC CENTROS,764.24,Oct-22,PUNGGOL CENTRAL,Resale,Strata,71,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10,1033000
PULLMAN RESIDENCES NEWTON,"1,162.51",Jun-22,DUNEARN ROAD,New Sale,Strata,108,Apartment,1,Freehold,11,Core Central Region,01 to 05,3119490
FORETT@BUKIT TIMAH,742.72,Aug-20,TOH TUCK ROAD,New Sale,Strata,69,Apartment,1,Freehold,21,Rest of Central Region,01 to 05,1456000
PINETREE HILL,764.24,Jul-23,PINE GROVE,New Sale,Strata,71.0,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,01 to 05,1788000
LENTOR HILLS RESIDENCES,"1,399.32",Jul-24,LENTOR HILLS ROAD,New Sale,Strata,130,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,2725000
MARINA BAY RESIDENCES,731.95,Aug-21,MARINA BOULEVARD,Resale,Strata,68,Condominium,1,99 yrs lease commencing from 2005,1,Core Central Region,31 to 35,1520000
MIDWOOD,635.08,Aug-21,HILLVIEW RISE,New Sale,Strata,59,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,21 to 25,1094000
THE OCEANFRONT @ SENTOSA COVE,"1,711.48",Aug-22,OCEAN DRIVE,Resale,Strata,159,Condominium,1,99 yrs lease commencing from 2005,4,Core Central Region,06 to 10,3170000
HYLL ON HOLLAND,699.66,Apr-23,HOLLAND ROAD,New Sale,Strata,65,Condominium,1,Freehold,10,Core Central Region,06 to 10,1942420
THE ORCHARD RESIDENCES,"2,464.96",Oct-20,ORCHARD BOULEVARD,Resale,Strata,229,Apartment,1,99 yrs lease commencing from 2006,9,Core Central Region,11 to 15,8500000
HIGH PARK RESIDENCES,387.5,Dec-24,FERNVALE ROAD,Resale,Strata,36.0,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25,700000
PARADISE PALMS,"1,151.75",Feb-24,DUNMAN ROAD,Resale,Strata,107,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,2000000
TERRASSE,893.41,Dec-21,TERRASSE LANE,Resale,Strata,83,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05,1060000
